8.00,184166.00,54.40,1529.00,215.00,1744.00,1700.50,43.50,4300.30,4809.30,20.09,17.97,1.80,0.36,14.27,9.99,1.66,1.64,0.40,0.35,6.60,0.02,0.03,1021.90,850.40,1869.30,250.10,29.60,76.10,119.20,78.76,170.30,72.15,0.34,0.34,0.06,0.02,0.01,0.02,28.10,51.10,305.30,4809.30,85.10,33.73,0.46,0.03,0.14,0.12,0.34,0.68,28.59
10.00,4546579.00,1576.70,56111.10,20476.00,76587.10,65784.90,10802.20,39873.90,27029.90,6.91,12.22,2.10,1.41,5.80,4.65,1.81,1.62,1.65,2.43,-4090.16,0.20,0.28,36394.80,26721.00,67234.90,9630.90,-3102.26,8119.00,11350.90,9671.31,14134.10,13761.47,0.15,0.15,0.24,0.14,0.27,0.16,1795.30,2783.20,13403.30,27029.90,4592.00,1387.50,0.36,0.12,0.36,0.27,0.15,0.99,38.33
10.00,13277679.00,1001.10,16478.20,13943.00,30421.20,28328.20,2093.00,14547.00,13812.00,4.41,5.46,0.75,1.13,5.03,3.85,0.84,0.85,1.95,2.05,4586.22,0.26,0.39,33695.00,21845.00,47282.00,1203.00,-60.78,3735.00,5636.00,3780.29,7358.00,-805.93,0.33,0.33,0.08,0.07,0.14,0.04,6369.00,1722.00,1257.00,13812.00,3017.70,200.22,0.19,0.61,0.85,0.46,0.33,0.73,17.63
9.00,2008522.00,310.40,4101.30,775.00,4876.30,4545.30,331.00,646.00,549.00,3.61,21.70,0.76,6.35,10.28,10.28,0.77,0.79,7.04,8.28,-32.88,1.76,0.68,5873.00,5429.00,6319.00,219.00,-32.88,1136.00,442.00,442.00,442.00,474.88,0.00,0.00,0.34,0.07,0.51,0.05,0.00,0.00,56.00,549.00,189.00,0.00,0.00,0.00,0.19,0.16,0.00,1.58,15.64
7.00,138482.00,13.20,733.90,0.00,733.90,621.10,112.80,671.60,690.60,18.49,17.60,4.21,1.09,10.23,8.54,10.07,4.21,0.92,0.90,4.85,0.06,0.09,61.70,174.50,306.10,19.30,0.55,39.70,60.70,39.76,72.70,34.91,0.35,0.35,0.03,0.15,0.17,0.37,16.30,12.00,90.20,690.60,41.70,5.28,0.00,0.15,0.00,0.00,0.35,1.15,56.98
7.00,800076.00,113.40,699.80,1070.90,1770.70,1720.70,50.00,1758.50,1791.10,7.48,7.23,1.09,0.40,8.61,7.34,1.04,1.04,0.98,0.96,3.12,0.05,0.11,1660.10,639.20,2507.70,395.00,7.32,93.50,199.80,134.01,234.30,130.89,0.33,0.33,0.22,0.03,0.03,0.02,30.30,34.50,344.80,1791.10,96.80,0.00,0.49,0.11,1.53,0.60,0.33,0.94,6.72
8.00,803523.00,49.90,2274.40,473.30,2747.70,2698.30,49.40,407.50,637.70,110.95,55.20,5.26,5.58,38.17,34.29,3.15,3.03,6.62,4.23,35.08,0.05,0.17,856.40,432.50,983.40,27.40,15.48,20.50,70.70,44.15,78.70,9.07,0.38,0.38,0.07,0.02,0.12,0.05,27.60,8.00,38.50,637.70,41.20,0.00,0.58,0.24,0.21,0.17,0.38,0.73,47.33
8.00,350925.00,39.40,2365.70,356.80,2722.50,2646.20,76.30,666.60,809.80,48.48,37.43,4.43,3.55,35.57,23.75,3.25,3.05,3.97,3.27,-17.46,0.07,0.11,814.90,534.40,1250.90,13.20,2.84,48.80,74.40,55.68,111.40,73.14,0.25,0.25,0.02,0.03,0.11,0.06,16.70,37.00,329.60,809.80,63.20,0.00,0.50,0.03,0.15,0.13,0.25,0.94,65.00
9.00,493758.00,107.00,2713.80,1069.70,3783.50,3189.70,593.80,8218.20,8153.50,10.50,11.34,1.25,0.33,9.36,7.19,1.21,1.17,0.39,0.39,-45.12,0.03,0.04,2645.40,2169.50,5664.60,637.70,-5.02,258.40,340.90,250.81,443.90,295.93,0.26,0.27,0.08,0.16,0.07,0.10,62.90,103.00,80.90,8153.50,239.30,0.00,0.33,0.06,0.39,0.28,0.27,1.15,29.43
10.00,331045.00,149.10,9022.70,2500.00,11522.70,11457.70,65.00,608.40,893.40,50.55,39.03,2.45,14.83,64.48,33.38,1.87,1.86,18.83,12.82,133.89,0.29,0.29,6119.80,3684.80,6561.10,-109.10,-51.11,178.50,177.70,174.55,343.20,40.66,0.02,0.02,-0.18,0.01,0.11,0.01,350.50,165.50,67.60,893.40,231.20,319.07,0.05,0.71,0.28,0.22,0.02,0.41,56.58
7.00,102033.00,32.20,974.50,248.80,1223.30,1183.30,40.00,985.60,1002.20,14.90,15.42,2.10,0.99,12.06,8.25,1.76,1.71,1.20,1.18,33.83,0.07,0.10,673.90,465.10,910.60,275.00,4.63,65.40,98.10,71.08,143.40,37.25,0.28,0.23,0.28,0.03,0.04,0.04,74.50,45.30,173.00,1002.20,63.20,25.76,0.11,0.33,0.26,0.20,0.23,1.22,33.98
10.00,758480.00,127.70,21293.20,6433.30,27726.50,27398.50,328.00,5914.90,7648.50,27.66,20.94,5.55,3.60,58.26,26.12,2.76,2.70,4.63,3.58,-142.94,0.13,0.08,9939.10,3833.80,14103.50,1017.30,298.16,769.90,470.30,312.36,1048.90,455.30,0.34,0.34,0.17,0.01,0.06,0.02,137.50,578.60,1573.10,7648.50,1017.00,0.00,0.61,0.10,0.30,0.23,0.34,0.99,168.00
9.00,553509.00,73.50,2628.70,253.50,2882.20,2659.20,223.00,1099.40,1092.70,45.64,51.75,4.24,2.39,25.40,12.04,4.09,3.30,2.42,2.43,-77.88,0.05,0.10,650.20,619.70,1187.70,29.60,-0.18,57.60,104.70,66.32,220.90,144.20,0.37,0.36,0.03,0.08,0.20,0.19,38.50,116.20,152.80,1092.70,50.80,0.00,0.34,0.19,0.10,0.09,0.36,0.94,36.98
3.00,7868.00,1.50,27.20,67.90,95.10,93.50,1.60,29.40,34.90,5.23,4.18,0.59,0.93,7.42,5.00,0.83,0.84,3.18,2.68,25.47,0.18,0.43,112.20,45.90,152.40,5.20,0.97,5.20,12.60,8.29,18.70,-17.18,0.34,0.34,0.18,0.02,0.05,0.01,30.60,6.10,5.70,34.90,6.50,0.00,0.00,0.00,2.50,0.71,0.34,0.95,17.18
10.00,1347180.00,494.10,27092.50,1508.10,28600.60,27175.50,1425.10,4403.70,4167.00,32.53,60.62,4.06,6.15,23.03,18.36,4.03,3.50,6.17,6.52,-117.16,0.19,0.27,6748.20,6665.20,9974.50,1645.70,-88.46,832.80,1180.20,878.48,1480.00,995.64,0.26,0.26,0.37,0.05,0.32,0.14,271.10,299.80,2739.70,4167.00,446.90,0.00,0.47,0.07,0.06,0.05,0.26,0.90,59.88
10.00,826870.00,311.00,14964.40,872.20,15836.60,11153.70,4682.90,2633.70,2633.70,22.22,22.22,3.16,5.68,14.81,12.92,12.01,2.82,4.23,4.23,12.90,0.26,0.29,928.90,4739.60,6381.80,218.90,0.00,673.50,753.10,622.09,863.30,609.19,0.17,0.17,0.08,0.30,1.78,0.73,123.10,110.20,939.30,2633.70,673.50,422.96,0.05,0.08,0.06,0.06,0.17,1.44,50.93
10.00,2183767.00,659.00,26707.00,10320.00,37027.00,35560.00,1467.00,89038.00,88336.00,17.85,22.07,1.49,0.30,17.41,12.30,1.33,1.31,0.40,0.40,513.53,0.02,0.02,26822.00,17969.00,41553.00,14646.00,-115.47,1496.00,2042.00,1404.92,2890.00,891.39,0.31,0.32,0.16,0.04,0.02,0.04,1477.00,848.00,1626.00,88336.00,1210.20,500.84,0.01,0.24,0.39,0.28,0.32,0.76,43.40
5.00,122146.00,20.90,225.50,0.00,225.50,97.90,127.60,143.90,165.70,14.46,26.85,1.55,1.57,6.57,5.93,5.35,1.55,0.68,0.59,5.22,0.11,0.10,18.30,145.90,170.90,5.40,0.82,15.60,14.90,14.90,16.50,9.68,0.00,0.00,0.04,0.57,0.89,0.75,6.00,1.60,66.80,165.70,8.40,0.00,0.00,0.07,0.00,0.00,-0.08,1.44,11.64
10.00,554408.00,49.90,11970.40,3947.60,15918.00,15024.60,893.40,3641.40,4149.30,21.44,18.90,22.65,3.29,14.08,13.17,4.19,3.56,4.13,3.62,754.32,0.15,0.29,3582.70,528.50,12000.10,5102.00,711.62,558.20,1067.40,727.64,1141.20,-26.69,0.32,0.32,1.40,0.06,0.25,0.07,116.50,73.80,108.10,4149.30,633.50,0.00,0.19,0.02,0.33,0.25,0.32,1.02,262.93
10.00,1989001.00,223.60,10267.10,0.00,10267.10,8312.80,1954.30,2312.20,2294.20,38.20,41.17,5.03,4.44,23.76,17.41,93.51,5.03,3.60,3.62,-67.93,0.12,0.15,88.90,2043.20,4308.40,-445.60,3.47,268.80,349.80,265.69,477.60,333.62,0.24,0.24,-0.19,0.19,0.85,0.45,56.40,127.80,1723.90,2294.20,249.40,0.00,0.20,0.03,0.00,0.00,0.24,0.90,50.32
