0.21,0.38,0.42,0,0,0.4,11.7,2.2,0.928,0.612,0.804,1014.4,13.3
0.96,0.04,0,0,0,0,3.9,-0.6,0.926,0.518,0.746,1019.9,9.4
0.79,0.21,0,0,0,0,1.7,-5.6,0.965,0.358,0.67,1023.4,9.4
0.5,0,0.42,0.08,0,0.3,2.8,-1.7,0.884,0.473,0.73,1019.7,10
0,0,0.96,0,0.04,0.6,3.3,0,0.925,0.649,0.828,1014.1,7.2
0,0.08,0.63,0,0.29,0.5,8.9,-0.6,1,0.576,0.87,1005.3,8.9
0,0.42,0.58,0,0,0.5,12.8,6.1,0.968,0.799,0.874,1003.6,13.3
0,0.33,0.63,0.04,0,0.5,8.9,3.9,0.967,0.763,0.877,1006.9,12.2
0.04,0.5,0.33,0.13,0,0.4,7.2,3.3,0.96,0.683,0.866,1009.2,10.6
0.25,0.5,0.25,0,0,0.25,7.2,2.2,0.966,0.585,0.859,1008.4,10.6
0.25,0.17,0.29,0.13,0.17,0.6,5.6,-0.6,1,0.71,0.862,1017.8,9.4
0,0,0.63,0.04,0.33,0.75,12.8,0.6,1,0.763,0.898,1008.9,14.4
0,0.33,0.58,0,0.08,0.5,13.9,10.6,1,0.802,0.935,1001.8,15.6
0.21,0.46,0.13,0,0.21,0.25,11.1,3.3,1,0.488,0.761,1011.8,13.9
0.04,0.25,0.71,0,0,0.6,10.6,5.6,0.93,0.829,0.886,1011.4,12.2
0.04,0.33,0.54,0,0.08,0.5,8.3,5,0.966,0.739,0.858,1013.8,11.7
0,0.29,0.58,0.08,0.04,0.5,9.4,6.1,1,0.83,0.928,1004.2,12.2
0.13,0.5,0.38,0,0,0.4,8.9,6.7,0.96,0.771,0.874,1009.1,12.2
0.04,0.46,0.46,0.04,0,0.45,8.3,5.6,0.897,0.715,0.816,1020.1,12.2
0,0.29,0.38,0,0.33,0.6,13.9,8.9,0.968,0.772,0.921,1021.2,15
0,0.08,0.54,0.04,0.33,0.75,14.4,8.9,1,0.772,0.926,1022,15.6
0.33,0.17,0.38,0.08,0.04,0.57,7.8,3.3,0.861,0.617,0.725,1026.1,13.3
0.33,0.08,0.33,0.13,0.13,0.5,6.1,-5.6,0.851,0.284,0.61,1025.6,12.2
0.13,0.17,0.38,0,0.33,0.68,6.7,2.2,0.888,0.509,0.714,1024.5,13.9
0.92,0.08,0,0,0,0.05,7.8,4.4,0.927,0.477,0.748,1022.2,16.1
0.58,0.42,0,0,0,0.1,6.7,2.8,0.893,0.397,0.701,1018.2,17.8
0.33,0.42,0.13,0.08,0.04,0.25,8.9,5,0.966,0.616,0.829,1017,13.3
0.04,0.58,0.17,0.04,0.17,0.32,8.3,5.6,0.966,0.616,0.83,1020.8,13.9
0.54,0.25,0.13,0.04,0.04,0.05,8.9,1.1,1,0.352,0.694,1021.3,17.8
1,0,0,0,0,0,5,-1.1,0.734,0.308,0.467,1018.5,17.2
0.71,0,0.29,0,0,0,7.8,2.2,0.851,0.377,0.696,1021.5,16.7
0.38,0.21,0.33,0.04,0.04,0.32,8.3,2.8,0.858,0.44,0.709,1024.6,16.7
0.33,0.13,0.29,0.17,0.08,0.55,8.9,3.3,0.927,0.454,0.746,1020.1,15
0,0.08,0.46,0.08,0.38,0.75,10,6.1,0.893,0.617,0.792,1016.9,13.9
0,0.17,0.75,0.04,0.04,0.6,8.9,5.6,0.897,0.464,0.708,1013.4,17.2
0,0.46,0.5,0.04,0,0.5,11.7,3.9,0.93,0.412,0.771,1016.8,18.3
0,0.33,0.33,0.29,0.04,0.75,10.6,8.3,0.967,0.642,0.838,1016.6,16.1
0,0.25,0.54,0.21,0,0.55,12.8,9.4,0.931,0.805,0.901,1004.1,13.9
0,0.42,0.54,0.04,0,0.5,12.8,9.4,1,0.832,0.915,998.9,13.9
0.13,0.25,0.54,0.08,0,0.5,10,7.8,0.929,0.743,0.856,1012.6,14.4
0,0.38,0.54,0,0.08,0.5,9.4,5.6,0.966,0.593,0.801,1021.7,13.9
0,0.38,0.54,0.08,0,0.5,10.6,6.1,0.893,0.574,0.755,1021.9,15
0.42,0.54,0.04,0,0,0.25,8.3,4.4,0.927,0.566,0.795,1023,13.9
0.38,0.13,0.38,0.13,0,0.45,8.3,4.4,0.928,0.512,0.768,1020.4,15
0.96,0.04,0,0,0,0,8.3,-1.1,0.966,0.344,0.731,1014.6,16.1
0.08,0.33,0.38,0,0.21,0.55,7.8,2.2,0.927,0.561,0.724,1013.1,14.4
0,0.13,0.79,0,0.08,0.6,7.8,0.6,0.928,0.52,0.678,1014.8,12.2
0,0.25,0.63,0.13,0,0.6,12.2,7.8,0.961,0.776,0.886,1013.4,15.6
0,0.08,0.88,0.04,0,0.6,13.3,10,0.968,0.748,0.892,1003,16.7
0,0.46,0.46,0.04,0.04,0.5,11.7,0.6,0.9,0.541,0.74,999.6,15
0.04,0.58,0.33,0.04,0,0.4,6.7,2.8,0.86,0.566,0.732,1010,12.8
0,0.46,0.38,0.17,0,0.5,7.2,5,0.896,0.572,0.77,1019.3,13.9
0,0.42,0.46,0.13,0,0.5,10.6,5,0.93,0.795,0.843,1016.2,13.3
0,0.54,0.46,0,0,0.4,9.4,4.4,0.863,0.682,0.786,1009.7,12.8
0.04,0.46,0.5,0,0,0.45,3.9,1.1,0.762,0.482,0.619,1015.6,12.2
0,0.25,0.63,0.13,0,0.5,6.7,1.7,0.889,0.523,0.764,1016.5,11.1
0,0.08,0.71,0.13,0.08,0.75,6.1,0.6,0.89,0.482,0.668,1015,11.7
0.67,0.13,0.21,0,0,0,6.7,-1.7,0.832,0.319,0.604,1017.5,16.1
0.75,0.04,0.21,0,0,0.1,7.8,5.6,0.96,0.553,0.778,1020.8,15
0.13,0.13,0.5,0.25,0,0.5,7.2,4.4,0.861,0.51,0.698,1026.1,15
0.13,0.25,0.33,0.13,0.17,0.5,9.4,5.6,0.927,0.535,0.767,1023.3,16.7
0,0.54,0.42,0.04,0,0.4,11.1,8.3,0.961,0.668,0.804,1024.3,16.7
0.25,0.25,0.29,0.21,0,0.45,10,7.2,0.929,0.598,0.809,1028.4,16.7
0.92,0.08,0,0,0,0,11.1,7.8,0.967,0.47,0.788,1027.1,20.6
1,0,0,0,0,0,12.8,7.2,0.929,0.461,0.718,1022.4,22.8
0.63,0,0.21,0.13,0.04,0.05,12.8,9.4,0.93,0.57,0.839,1019.3,21.7
0,0.08,0.54,0.13,0.25,0.75,11.7,9.4,0.93,0.674,0.833,1018.8,17.8
0,0.25,0.63,0.08,0.04,0.5,11.7,9.4,0.864,0.674,0.788,1020.1,17.2
0,0.17,0.63,0.13,0.08,0.55,12.8,9.4,0.93,0.748,0.838,1021.3,16.7
0.29,0.17,0.13,0.04,0.38,0.5,12.2,10,0.967,0.676,0.837,1021.2,18.3
0,0.21,0.42,0.33,0.04,0.68,13.3,10,0.967,0.633,0.843,1019.9,20
0,0.13,0.67,0.13,0.08,0.5,13.3,10,0.968,0.63,0.808,1016.5,19.4
0.04,0.33,0.54,0.08,0,0.5,13.3,8.9,0.931,0.523,0.77,1017.2,18.9
